"city","country","pop2024","latitude","longitude"
"Vyshhorod","Ukraine",22080,50.5848,30.4898
"Starobil's'k","Ukraine",22000,49.2783,38.9107
"Kiliya","Ukraine",21754,45.4552,29.2637
"Heniches'k","Ukraine",21663,46.1759,34.8034
"Sokal'","Ukraine",21451,50.4744,24.2829
"Krasnohrad","Ukraine",21426,49.3801,35.4419
"Ladyzhyn","Ukraine",21393,48.685,29.2368
"Polohy","Ukraine",21380,47.4844,36.2536
"Amvrosiyivka","Ukraine",21307,47.7935,38.4777
"Kremenets","Ukraine",21000,50.0969,25.7246
"Kurakhovo","Ukraine",20700,47.9852,37.2821
"Dolyna","Ukraine",20696,48.9733,24.0094
"Piatykhatky","Ukraine",20459,48.4133,33.7106
"Dniprorudne","Ukraine",20271,47.3817,34.9765
"Nadvirna","Ukraine",20154,48.6348,24.5694
"Stebnyk","Ukraine",20087,49.2942,23.5636
"Putyvl'","Ukraine",20000,51.3374,33.8707
"Krasyliv","Ukraine",19815,49.6519,26.9725
"Kivsharivka","Ukraine",19738,49.631,37.6882
"Reni","Ukraine",19719,45.4573,28.2932
"Vovchans'k","Ukraine",19486,50.2908,36.9411
"Vatutine","Ukraine",19407,49.015,31.0621
"Skadovs'k","Ukraine",19404,46.1161,32.9112
"Derhachi","Ukraine",19322,50.1066,36.1211
"Kalynivka","Ukraine",19315,49.4539,28.5261
"Balta","Ukraine",19220,47.9355,29.6198
"Zvenihorodka","Ukraine",19161,49.0787,30.9676
"Zuhres","Ukraine",19121,48.0114,38.2644
"Korsun-Shevchenkivskyi","Ukraine",19000,49.4189,31.2586
"Lutuhyne","Ukraine",18830,48.4051,39.2267
"Svatove","Ukraine",18770,49.4103,38.1503
"Shpola","Ukraine",18689,49.0069,31.3947
"Balaklava","Ukraine",18649,44.5112,33.5994
"Novoukrayinka","Ukraine",18633,48.3264,31.5285
"Bilopillya","Ukraine",17824,51.1502,34.3129
"Bohodukhiv","Ukraine",17818,50.1647,35.5276
"Izyaslav","Ukraine",17758,50.1195,26.8213
"Ilovays'k","Ukraine",17621,47.925,38.2024
"Rozdil'na","Ukraine",17615,46.8433,30.0792
"Chervonopartyzans'k","Ukraine",17526,48.0761,39.7962
"Skvyra","Ukraine",17452,49.7318,29.6657
"Orikhiv","Ukraine",17287,47.5673,35.7858
"Karlivka","Ukraine",17226,49.4572,35.1297
"Pidhorodne","Ukraine",17103,48.5753,35.1068
"Horodok","Ukraine",17086,49.1637,26.5839
"Berezhani","Ukraine",16962,49.45,24.9333
"Bar","Ukraine",16641,49.0772,27.6826
"Sudak","Ukraine",16597,44.8492,34.9747
"Kivertsi","Ukraine",16509,50.8343,25.4582
"Svalyava","Ukraine",16507,48.5485,22.9958
"Bohuslav","Ukraine",16498,49.5494,30.8744
"Hulyaypole","Ukraine",16442,47.6639,36.2563
"Bilohirsk","Ukraine",16428,45.0546,34.6018
"Ovruch","Ukraine",16398,51.3246,28.8035
"Talne","Ukraine",16388,48.8888,30.6948
"Ochakiv","Ukraine",16300,46.6128,31.5498
"Tulchyn","Ukraine",16136,48.6745,28.8464
"Hola Prystan'","Ukraine",16102,46.5272,32.5242
"Zmiyiv","Ukraine",16095,49.6745,36.3478
"Pyryatyn","Ukraine",16089,50.2424,32.5062
"Horodok","Ukraine",15993,49.7846,23.6481
"Dunaivtsi","Ukraine",15836,48.8891,26.8564
"Apostolove","Ukraine",15828,47.66,33.7137
"Slobozhans'ke","Ukraine",15825,49.597,36.5262
"Artsyz","Ukraine",15761,45.9919,29.4182
"Novyy Buh","Ukraine",15646,47.6931,32.5216
"Hayvoron","Ukraine",15526,48.3396,29.8679
"Bolhrad","Ukraine",15274,45.6826,28.6149
"Zhashkiv","Ukraine",15264,49.2454,30.1102
"Radomyshl","Ukraine",15252,50.4961,29.2291
"Nosivka","Ukraine",15164,50.9315,31.5828
"Horodyshche","Ukraine",15063,49.2849,31.4451
"Vasylivka","Ukraine",15012,47.4369,35.2742
"Beryslav","Ukraine",14880,46.8415,33.4284
"Snihurivka","Ukraine",14873,47.0758,32.8052
"Burshtyn","Ukraine",14729,49.2587,24.6278
"Rakhiv","Ukraine",14674,48.0526,24.2009
"Kamianka","Ukraine",14547,49.0318,32.104
"Novhorod-Sivers'kyy","Ukraine",14400,52.0058,33.2615
"Tetiiv","Ukraine",14388,49.3767,29.6647
"Chasiv Yar","Ukraine",14360,48.5935,37.8572
"Nyzhnya Krynka","Ukraine",14253,48.1135,38.1606
"Ostroh","Ukraine",14251,50.3294,26.5142
"Mykolaiv","Ukraine",14251,49.5237,23.9852
"Koryukivka","Ukraine",14215,51.7688,32.2481
"Khorol","Ukraine",14117,49.7837,33.2783
"Khrystynivka","Ukraine",14056,48.8158,29.977
"Kotsyubyns'ke","Ukraine",13934,50.4884,30.3296
"Sivers'k","Ukraine",13900,48.867,38.1001
